"DATE","TIME PERIOD","Yield curve spot rate, 1-year maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition) (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y) - Modified value (Monthly)"
"2004-09-30","2004Sep","2.281661"
"2004-10-31","2004Oct"
"2004-11-30","2004Nov","2.179836"
"2004-12-31","2004Dec","2.243356"
"2005-01-31","2005Jan","2.188622"
"2005-02-28","2005Feb","2.240772"
"2005-03-31","2005Mar","2.235843"
"2005-04-30","2005Apr"
"2005-05-31","2005May","2.046557"
"2005-06-30","2005Jun","1.948900"
"2005-07-31","2005Jul"
"2005-08-31","2005Aug","2.089021"
"2005-09-30","2005Sep","2.176708"
"2005-10-31","2005Oct","2.406292"
"2005-11-30","2005Nov","2.610057"
"2005-12-31","2005Dec"
"2006-01-31","2006Jan","2.726226"
"2006-02-28","2006Feb","2.797906"
"2006-03-31","2006Mar","3.037054"
"2006-04-30","2006Apr"
"2006-05-31","2006May","3.151398"
"2006-06-30","2006Jun","3.308519"
"2006-07-31","2006Jul","3.335887"
"2006-08-31","2006Aug","3.429394"
"2006-09-30","2006Sep"
"2006-10-31","2006Oct","3.593478"
"2006-11-30","2006Nov","3.592421"
"2006-12-31","2006Dec"
"2007-01-31","2007Jan","3.840389"
"2007-02-28","2007Feb","3.791028"
"2007-03-31","2007Mar"
"2007-04-30","2007Apr","4.013191"
"2007-05-31","2007May","4.205861"
"2007-06-30","2007Jun"
"2007-07-31","2007Jul","4.233345"
"2007-08-31","2007Aug","3.977924"
"2007-09-30","2007Sep"
"2007-10-31","2007Oct","4.014895"
"2007-11-30","2007Nov","3.842934"
"2007-12-31","2007Dec","4.000859"
"2008-01-31","2008Jan","3.547181"
"2008-02-29","2008Feb","3.417451"
"2008-03-31","2008Mar","3.699265"
"2008-04-30","2008Apr","3.891177"
"2008-05-31","2008May"
"2008-06-30","2008Jun","4.494118"
"2008-07-31","2008Jul","4.310598"
"2008-08-31","2008Aug"
"2008-09-30","2008Sep","3.597012"
"2008-10-31","2008Oct","2.863721"
"2008-11-30","2008Nov"
"2008-12-31","2008Dec","1.849390"
"2009-01-31","2009Jan"
"2009-02-28","2009Feb"
"2009-03-31","2009Mar","0.880698"
"2009-04-30","2009Apr","0.961134"
"2009-05-31","2009May"
"2009-06-30","2009Jun","0.896297"
"2009-07-31","2009Jul","0.742185"
"2009-08-31","2009Aug","0.741032"
"2009-09-30","2009Sep","0.700379"
"2009-10-31","2009Oct"
"2009-11-30","2009Nov","0.796865"
"2009-12-31","2009Dec","0.811557"
"2010-01-31","2010Jan"
"2010-02-28","2010Feb"
"2010-03-31","2010Mar","0.600486"
"2010-04-30","2010Apr","0.601467"
"2010-05-31","2010May","0.277592"
"2010-06-30","2010Jun","0.423740"
"2010-07-31","2010Jul"
"2010-08-31","2010Aug","0.447731"
"2010-09-30","2010Sep","0.675927"
"2010-10-31","2010Oct"
"2010-11-30","2010Nov","0.719105"
"2010-12-31","2010Dec","0.602586"
"2011-01-31","2011Jan","1.026227"
"2011-02-28","2011Feb","1.075778"
"2011-03-31","2011Mar","1.299675"
"2011-04-30","2011Apr"
"2011-05-31","2011May","1.317816"
"2011-06-30","2011Jun","1.388328"
"2011-07-31","2011Jul"
"2011-08-31","2011Aug","0.667379"
"2011-09-30","2011Sep","0.469022"
"2011-10-31","2011Oct","0.537435"
"2011-11-30","2011Nov","0.383436"
"2011-12-31","2011Dec"
"2012-01-31","2012Jan","0.206149"
"2012-02-29","2012Feb","0.147002"
"2012-03-31","2012Mar"
"2012-04-30","2012Apr","0.101865"
"2012-05-31","2012May","0.051215"
"2012-06-30","2012Jun"
"2012-07-31","2012Jul","-0.087881"
"2012-08-31","2012Aug","-0.053211"
"2012-09-30","2012Sep"
"2012-10-31","2012Oct","-0.010770"
"2012-11-30","2012Nov","-0.020727"
"2012-12-31","2012Dec","-0.038158"
"2013-01-31","2013Jan","0.150103"
"2013-02-28","2013Feb","0.012597"
"2013-03-31","2013Mar"
"2013-04-30","2013Apr","-0.006268"
"2013-05-31","2013May","0.027672"
"2013-06-30","2013Jun"
"2013-07-31","2013Jul","0.043684"
"2013-08-31","2013Aug"
"2013-09-30","2013Sep","0.067654"
"2013-10-31","2013Oct","0.046533"
"2013-11-30","2013Nov"
"2013-12-31","2013Dec","0.094158"
"2014-01-31","2014Jan","0.037111"
"2014-02-28","2014Feb","0.087182"
"2014-03-31","2014Mar","0.111933"
"2014-04-30","2014Apr","0.094310"
"2014-05-31","2014May"
"2014-06-30","2014Jun","-0.009091"
"2014-07-31","2014Jul","-0.017955"
"2014-08-31","2014Aug"
"2014-09-30","2014Sep","-0.094943"
"2014-10-31","2014Oct","-0.081477"
"2014-11-30","2014Nov"
"2014-12-31","2014Dec","-0.090489"
"2015-01-31","2015Jan"
"2015-02-28","2015Feb"
"2015-03-31","2015Mar","-0.248743"
"2015-04-30","2015Apr","-0.258792"
"2015-05-31","2015May"
"2015-06-30","2015Jun","-0.258849"
"2015-07-31","2015Jul","-0.290629"
"2015-08-31","2015Aug","-0.265150"
"2015-09-30","2015Sep","-0.270506"
"2015-10-31","2015Oct"
"2015-11-30","2015Nov","-0.403232"
"2015-12-31","2015Dec"
"2016-01-31","2016Jan"
"2016-02-29","2016Feb","-0.510551"
"2016-03-31","2016Mar","-0.485655"
"2016-04-30","2016Apr"
"2016-05-31","2016May","-0.538703"
"2016-06-30","2016Jun","-0.649074"
"2016-07-31","2016Jul"
"2016-08-31","2016Aug","-0.643433"
"2016-09-30","2016Sep","-0.721780"
"2016-10-31","2016Oct","-0.740973"
"2016-11-30","2016Nov","-0.795554"
"2016-12-31","2016Dec"
"2017-01-31","2017Jan","-0.702550"
"2017-02-28","2017Feb","-0.881034"
"2017-03-31","2017Mar","-0.743541"
"2017-04-30","2017Apr"
"2017-05-31","2017May","-0.740429"
"2017-06-30","2017Jun","-0.652626"
"2017-07-31","2017Jul","-0.709923"
"2017-08-31","2017Aug","-0.766048"
"2017-09-30","2017Sep"
"2017-10-31","2017Oct","-0.787721"
"2017-11-30","2017Nov","-0.764806"
"2017-12-31","2017Dec"
"2018-01-31","2018Jan","-0.639447"
"2018-02-28","2018Feb","-0.681066"
"2018-03-31","2018Mar"
"2018-04-30","2018Apr","-0.659420"
"2018-05-31","2018May","-0.719417"
"2018-06-30","2018Jun"
"2018-07-31","2018Jul","-0.653104"
"2018-08-31","2018Aug","-0.671035"
"2018-09-30","2018Sep"
"2018-10-31","2018Oct","-0.730937"
"2018-11-30","2018Nov","-0.695103"
"2018-12-31","2018Dec"
"2019-01-31","2019Jan","-0.601981"
"2019-02-28","2019Feb","-0.567277"
"2019-03-31","2019Mar"
"2019-04-30","2019Apr","-0.595395"
"2019-05-31","2019May","-0.641700"
"2019-06-30","2019Jun"
"2019-07-31","2019Jul","-0.743844"
"2019-08-31","2019Aug"
"2019-09-30","2019Sep","-0.759257"
"2019-10-31","2019Oct","-0.687181"
"2019-11-30","2019Nov"
"2019-12-31","2019Dec"
"2020-01-31","2020Jan","-0.653400"
"2020-02-29","2020Feb"
"2020-03-31","2020Mar","-0.694821"
"2020-04-30","2020Apr","-0.613036"
"2020-05-31","2020May"
"2020-06-30","2020Jun","-0.637002"
"2020-07-31","2020Jul","-0.648684"
"2020-08-31","2020Aug","-0.624605"
"2020-09-30","2020Sep","-0.644058"
"2020-10-31","2020Oct"
"2020-11-30","2020Nov","-0.723741"
"2020-12-31","2020Dec"
"2021-01-31","2021Jan"
"2021-02-28","2021Feb"
"2021-03-31","2021Mar","-0.693330"
"2021-04-30","2021Apr","-0.683253"
"2021-05-31","2021May","-0.679869"
"2021-06-30","2021Jun","-0.688858"
"2021-07-31","2021Jul"
"2021-08-31","2021Aug","-0.733601"
"2021-09-30","2021Sep","-0.732889"
"2021-10-31","2021Oct"
"2021-11-30","2021Nov","-0.854720"
"2021-12-31","2021Dec","-0.719369"
"2022-01-31","2022Jan","-0.663375"
"2022-02-28","2022Feb","-0.681589"
"2022-03-31","2022Mar","-0.494114"
"2022-04-30","2022Apr"
"2022-05-31","2022May","-0.081330"
"2022-06-30","2022Jun","0.307471"
"2022-07-31","2022Jul"
"2022-08-31","2022Aug","0.661172"
"2022-09-30","2022Sep","1.543368"
"2022-10-31","2022Oct","1.930783"
"2022-11-30","2022Nov","2.022338"
"2022-12-31","2022Dec"
"2023-01-31","2023Jan","2.669912"
"2023-02-28","2023Feb","3.161132"
"2023-03-31","2023Mar","2.797763"
"2023-04-30","2023Apr"
"2023-05-31","2023May","3.015395"
"2023-06-30","2023Jun","3.451520"
"2023-07-31","2023Jul","3.415310"
"2023-08-31","2023Aug","3.380369"
"2023-09-30","2023Sep"
"2023-10-31","2023Oct","3.387519"
"2023-11-30","2023Nov","3.264972"
"2023-12-31","2023Dec"
"2024-01-31","2024Jan","3.051210"
"2024-02-29","2024Feb","3.333225"
"2024-03-31","2024Mar"
"2024-04-30","2024Apr","3.352461"
"2024-05-31","2024May","3.334720"
"2024-06-24","2024Jun","3.122282"
